,accuracy,classifier,confusion_mat,recall
0,0.66,SVC,"[[  0  68]
 [  0 132]]",0.0
1,0.66,SVC,"[[  0  68]
 [  0 132]]",1.0
0,0.65,DT,"[[ 27  41]
 [ 29 103]]",0.39705882352941174
1,0.65,DT,"[[ 27  41]
 [ 29 103]]",0.7803030303030303
0,0.65,RF,"[[ 27  41]
 [ 29 103]]",0.39705882352941174
1,0.65,RF,"[[ 27  41]
 [ 29 103]]",0.7803030303030303
0,0.66,MLP,"[[ 14  54]
 [ 14 118]]",0.20588235294117646
1,0.66,MLP,"[[ 14  54]
 [ 14 118]]",0.8939393939393939
0,0.66,ADA,"[[ 24  44]
 [ 24 108]]",0.35294117647058826
1,0.66,ADA,"[[ 24  44]
 [ 24 108]]",0.8181818181818182
0,0.655,NB,"[[ 16  52]
 [ 17 115]]",0.23529411764705882
1,0.655,NB,"[[ 16  52]
 [ 17 115]]",0.8712121212121212
