,accuracy,classifier,confusion_mat,recall
0,0.66,SVC,"[[  0  68]
 [  0 132]]",0.0
1,0.66,SVC,"[[  0  68]
 [  0 132]]",1.0
0,0.635,DT,"[[30 38]
 [35 97]]",0.4411764705882353
1,0.635,DT,"[[30 38]
 [35 97]]",0.7348484848484849
0,0.715,RF,"[[ 23  45]
 [ 12 120]]",0.3382352941176471
1,0.715,RF,"[[ 23  45]
 [ 12 120]]",0.9090909090909091
0,0.7,MLP,"[[ 18  50]
 [ 10 122]]",0.2647058823529412
1,0.7,MLP,"[[ 18  50]
 [ 10 122]]",0.9242424242424242
0,0.715,ADA,"[[ 21  47]
 [ 10 122]]",0.3088235294117647
1,0.715,ADA,"[[ 21  47]
 [ 10 122]]",0.9242424242424242
0,0.645,NB,"[[38 30]
 [41 91]]",0.5588235294117647
1,0.645,NB,"[[38 30]
 [41 91]]",0.6893939393939394
