,accuracy,classifier,confusion_mat,recall
0,0.66,SVC,"[[  0  68]
 [  0 132]]",0.0
1,0.66,SVC,"[[  0  68]
 [  0 132]]",1.0
0,0.65,DT,"[[ 25  43]
 [ 27 105]]",0.36764705882352944
1,0.65,DT,"[[ 25  43]
 [ 27 105]]",0.7954545454545454
0,0.695,RF,"[[ 19  49]
 [ 12 120]]",0.27941176470588236
1,0.695,RF,"[[ 19  49]
 [ 12 120]]",0.9090909090909091
0,0.675,MLP,"[[ 30  38]
 [ 27 105]]",0.4411764705882353
1,0.675,MLP,"[[ 30  38]
 [ 27 105]]",0.7954545454545454
0,0.65,ADA,"[[  9  59]
 [ 11 121]]",0.1323529411764706
1,0.65,ADA,"[[  9  59]
 [ 11 121]]",0.9166666666666666
0,0.73,NB,"[[ 29  39]
 [ 15 117]]",0.4264705882352941
1,0.73,NB,"[[ 29  39]
 [ 15 117]]",0.8863636363636364
