,accuracy,classifier,confusion_mat,recall
0,0.66,SVC,"[[  0  68]
 [  0 132]]",0.0
1,0.66,SVC,"[[  0  68]
 [  0 132]]",1.0
0,0.69,DT,"[[ 31  37]
 [ 25 107]]",0.45588235294117646
1,0.69,DT,"[[ 31  37]
 [ 25 107]]",0.8106060606060606
0,0.725,RF,"[[ 24  44]
 [ 11 121]]",0.35294117647058826
1,0.725,RF,"[[ 24  44]
 [ 11 121]]",0.9166666666666666
0,0.685,MLP,"[[ 28  40]
 [ 23 109]]",0.4117647058823529
1,0.685,MLP,"[[ 28  40]
 [ 23 109]]",0.8257575757575758
0,0.73,ADA,"[[ 23  45]
 [  9 123]]",0.3382352941176471
1,0.73,ADA,"[[ 23  45]
 [  9 123]]",0.9318181818181818
0,0.43,NB,"[[ 60   8]
 [106  26]]",0.8823529411764706
1,0.43,NB,"[[ 60   8]
 [106  26]]",0.19696969696969696
